step time f_darcy f_darcy_dpdx tau_avg u_bulk reynolds
2340 3.896496e+00 4.269200e-02 9.379851e-02 1.297166e-03 4.930256e-01 6.573675e+03
2350 3.913692e+00 4.265754e-02 9.369722e-02 1.297520e-03 4.932920e-01 6.577227e+03
2360 3.930883e+00 4.262298e-02 9.359616e-02 1.297868e-03 4.935582e-01 6.580777e+03
2370 3.948067e+00 4.258835e-02 9.349532e-02 1.298212e-03 4.938243e-01 6.584324e+03
2380 3.965244e+00 4.255363e-02 9.339471e-02 1.298552e-03 4.940903e-01 6.587870e+03
2390 3.982416e+00 4.251884e-02 9.329432e-02 1.298886e-03 4.943560e-01 6.591414e+03
2400 3.999580e+00 4.248399e-02 9.319415e-02 1.299216e-03 4.946216e-01 6.594955e+03
2410 4.016739e+00 4.244907e-02 9.309420e-02 1.299542e-03 4.948871e-01 6.598494e+03
2420 4.033890e+00 4.241411e-02 9.299448e-02 1.299864e-03 4.951523e-01 6.602031e+03
2430 4.051036e+00 4.237909e-02 9.289497e-02 1.300182e-03 4.954175e-01 6.605566e+03
2440 4.068174e+00 4.234403e-02 9.279569e-02 1.300497e-03 4.956824e-01 6.609099e+03
2450 4.085306e+00 4.230893e-02 9.269662e-02 1.300807e-03 4.959472e-01 6.612630e+03
2460 4.102431e+00 4.227380e-02 9.259777e-02 1.301115e-03 4.962119e-01 6.616159e+03
2470 4.119550e+00 4.223864e-02 9.249914e-02 1.301419e-03 4.964764e-01 6.619685e+03
2480 4.136661e+00 4.220346e-02 9.240072e-02 1.301720e-03 4.967407e-01 6.623209e+03
2490 4.153766e+00 4.216826e-02 9.230252e-02 1.302018e-03 4.970049e-01 6.626732e+03
2500 4.170864e+00 4.213305e-02 9.220453e-02 1.302313e-03 4.972689e-01 6.630252e+03
2510 4.187955e+00 4.209783e-02 9.210676e-02 1.302606e-03 4.975327e-01 6.633770e+03
2520 4.205039e+00 4.206260e-02 9.200921e-02 1.302896e-03 4.977964e-01 6.637286e+03
2530 4.222117e+00 4.202738e-02 9.191186e-02 1.303184e-03 4.980600e-01 6.640800e+03
2540 4.239187e+00 4.199215e-02 9.181473e-02 1.303469e-03 4.983233e-01 6.644311e+03
2550 4.256250e+00 4.195694e-02 9.171782e-02 1.303752e-03 4.985866e-01 6.647821e+03
2560 4.273307e+00 4.192173e-02 9.162111e-02 1.304033e-03 4.988496e-01 6.651328e+03
2570 4.290356e+00 4.188653e-02 9.152461e-02 1.304312e-03 4.991125e-01 6.654834e+03
2580 4.307398e+00 4.185135e-02 9.142833e-02 1.304589e-03 4.993753e-01 6.658337e+03
2590 4.324433e+00 4.181619e-02 9.133225e-02 1.304864e-03 4.996379e-01 6.661838e+03
2600 4.341461e+00 4.178105e-02 9.123639e-02 1.305137e-03 4.999003e-01 6.665337e+03
2610 4.358482e+00 4.174593e-02 9.114073e-02 1.305409e-03 5.001626e-01 6.668834e+03
2620 4.375495e+00 4.171084e-02 9.104528e-02 1.305679e-03 5.004247e-01 6.672329e+03
2630 4.392501e+00 4.167577e-02 9.095004e-02 1.305947e-03 5.006866e-01 6.675822e+03
2640 4.409500e+00 4.164074e-02 9.085500e-02 1.306214e-03 5.009484e-01 6.679312e+03
2650 4.426492e+00 4.160574e-02 9.076017e-02 1.306480e-03 5.012100e-01 6.682801e+03
2660 4.443477e+00 4.157078e-02 9.066555e-02 1.306745e-03 5.014715e-01 6.686287e+03
2670 4.460454e+00 4.153585e-02 9.057113e-02 1.307008e-03 5.017328e-01 6.689771e+03
2680 4.477424e+00 4.150096e-02 9.047692e-02 1.307270e-03 5.019940e-01 6.693253e+03
2690 4.494386e+00 4.146612e-02 9.038291e-02 1.307531e-03 5.022550e-01 6.696733e+03
2700 4.511341e+00 4.143132e-02 9.028910e-02 1.307791e-03 5.025158e-01 6.700211e+03
2710 4.528289e+00 4.139657e-02 9.019550e-02 1.308050e-03 5.027765e-01 6.703687e+03
2720 4.545229e+00 4.136186e-02 9.010210e-02 1.308308e-03 5.030370e-01 6.707161e+03
